feature_set,block,d_auc,d_brier_skill,d_ece,d_stability_random,d_stability_temporal,d_icc,d_player_discrimination
xcross,ALL_NEW,-0.0007385568511585339,-0.0005496094158241593,0.0022850918031691184,-0.021952181803834958,0.00014203424603487225,-0.003113824556985084,-0.0009496495249087505
xcross,coverage,-0.0008378840775510321,-0.00024622926237316545,0.0011999906265554366,-0.0071332754675293986,-0.015742128935532174,-0.0034481079816508498,-0.00033065631148065586
xcross,gk,0.00240140404926803,0.0006245410245417915,-0.00010970871780479827,-0.0014440148346878123,-0.004639785370472604,0.0004412653114194698,-0.000011796772154216983
xcross,marking,-0.0006507616841014974,-0.00046421107534400097,0.0014497212379187422,-0.020003156316578452,0.007306872879349835,-0.0011006096435609014,-0.0007380236167202642
xcross,pocket,0.00003670056839577551,0.000013891602873461473,0.00025567489289409287,0.00100213051369058,0.0015387043320445049,0.00005834088724694653,5.298767496086584e-6
xcross,pressure,-0.0011614130560588798,-0.00028789793869499203,-0.0034491977322760586,0.00007101712301749163,-0.005823404087429873,0.00020877258159311685,0.0001369947555870804
xcross,shape,-0.0008842227539315184,-0.00016857979228168674,-0.0018178302473591985,-0.004221573423814462,-0.009879270890870262,-0.0009002399170665587,0.00002102879431101906
xcrossot,ALL_NEW,0.026913132869105016,0.029422592535010783,-0.0018565530676967947,-0.05881006864988558,-0.02585023277834772,-0.006187055408216187,0.0030247418004286375
xcrossot,clearance,0.002447616462225133,0.003292101174406259,-0.00044393276399209806,0.053468002840684925,-0.005223703937505014,0.0021063342576810792,0.0013693201200598026
xcrossot,coverage,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,-6.938893903907228e-18
xcrossot,flight,0.016505786021376423,0.017688628421596353,0.0009720571904562672,-0.09926615639548647,0.0013098713800994144,-0.005116336524273318,0.0010910533420244173
xcrossot,gk,0.0,0.0,0.0,0.0,0.0,-3.469446951953614e-17,-6.938893903907228e-18
xcrossot,marking,0.0,0.0,0.0,0.0,0.0,-3.469446951953614e-17,0.0
xcrossot,pocket,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-17,-1.3877787807814457e-17
xcrossot,pressure,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,0.0
xcrossot,shape,0.00008291298135310043,0.00007391101005727041,0.00020340035205912432,-0.006904442515584308,0.0007022804387279702,0.000015442167650578376,-0.000010909357330418645
xcrossot,support,0.0008551400787463193,0.0008909622822284025,0.00025443142595118345,-0.009058628580446593,0.000804860727530915,-0.00042648404647597365,-0.00011929116322102057
xcrossot,swing,-0.0005092203864921485,-0.0004804221255749752,-0.00008482604416934145,0.0009311133906730884,0.002927483626607691,0.0005756786788058896,0.0000487171046773191
xcrossot,temporal,0.002281411709249004,0.002382423451125937,-0.0007928712954040837,0.009082300954785738,-0.0010810384281544072,0.0001173835648419011,0.00011502125097444249
